Id,State,date,New_cases
1,Andhara Pradesh,24-01-2019,62
2,Arunachal Pradesh,06-01-2019,0
3,Assam,14-01-2019,0
4,Bihar,10-01-2019,0
5,Chhattisgarh,21-01-2019,18
6,Goa,14-01-2019,16
7,Gujarat,04-01-2019,111
8,Haryana,04-01-2019,0
9,Himachal Pradesh,22-01-2019,5
10,J & K,03-01-2019,0
11,Jharkhand,16-01-2019,5
12,Karnataka,17-01-2019,51
13,Kerala,01-01-2019,72
14,Madhya Pradesh,17-01-2019,10
15,Meghalaya,17-01-2019,0
16,Maharashtra,09-01-2019,148
17,Manipur,08-01-2019,1
18,Mizoram,03-01-2019,0
19,Nagaland,16-01-2019,0
20,Odisha,12-01-2019,2
21,Punjab,20-01-2019,0
22,Rajasthan,19-01-2019,123
23,Sikkim,01-01-2019,2
24,Tamil Nadu,08-01-2019,376
25,Tripura,12-01-2019,10
26,Telengana,18-01-2019,85
27,Uttar Pradesh,12-01-2019,20
28,Uttrakhand,27-01-2019,0
29,West Bengal,03-01-2019,Not Reported
30,A&N Island,01-01-2019,24
31,Chandigarh,06-01-2019,0
32,Delhi,25-01-2019,1
33,D&N Haveli,25-01-2019,0
34,Daman & Diu,25-01-2019,0
35,Puducherry,01-01-2019,64
36,Total,07-01-2019,1206
37,Andhara Pradesh,26-02-2019,32
38,Arunachal Pradesh,16-02-2019,0
39,Assam,18-02-2019,4
40,Bihar,09-02-2019,0
41,Chhattisgarh,02-02-2019,23
42,Goa,20-02-2019,7
43,Gujarat,10-02-2019,55
44,Haryana,22-02-2019,0
45,Himachal Pradesh,07-02-2019,4
46,J & K,14-02-2019,0
47,Jharkhand,26-02-2019,1
48,Karnataka,23-02-2019,199
49,Kerala,24-02-2019,62
50,Madhya Pradesh,02-02-2019,22
51,Meghalaya,05-02-2019,0
52,Maharashtra,07-02-2019,154
53,Manipur,15-02-2019,0
54,Mizoram,11-02-2019,0
55,Nagaland,21-02-2019,0
56,Odisha,28-02-2019,0
57,Punjab,13-02-2019,0
58,Rajasthan,14-02-2019,77
59,Sikkim,28-02-2019,3
60,Tamil Nadu,20-02-2019,190
61,Tripura,23-02-2019,6
62,Telengana,01-02-2019,23
63,Uttar Pradesh,27-02-2019,11
64,Uttrakhand,07-02-2019,0
65,West Bengal,04-02-2019,Not Reported
66,A&N Island,11-02-2019,0
67,Chandigarh,05-02-2019,0
68,Delhi,14-02-2019,18
69,D&N Haveli,21-02-2019,4
70,Daman & Diu,24-02-2019,0
71,Puducherry,09-02-2019,72
72,Total,14-02-2019,967
73,Andhara Pradesh,17-03-2019,56
74,Arunachal Pradesh,09-03-2019,0
75,Assam,23-03-2019,4
76,Bihar,21-03-2019,0
77,Chhattisgarh,02-03-2019,12
78,Goa,23-03-2019,8
79,Gujarat,14-03-2019,59
80,Haryana,12-03-2019,0
81,Himachal Pradesh,20-03-2019,1
82,J & K,10-03-2019,0
83,Jharkhand,04-03-2019,6
84,Karnataka,28-03-2019,247
85,Kerala,07-03-2019,58
86,Madhya Pradesh,27-03-2019,13
87,Meghalaya,14-03-2019,0
88,Maharashtra,09-03-2019,150
89,Manipur,14-03-2019,0
90,Mizoram,06-03-2019,5
91,Nagaland,26-03-2019,0
92,Odisha,28-03-2019,0
93,Punjab,13-03-2019,0
94,Rajasthan,20-03-2019,57
95,Sikkim,17-03-2019,1
96,Tamil Nadu,27-03-2019,186
97,Tripura,28-03-2019,3
98,Telengana,03-03-2019,223
99,Uttar Pradesh,26-03-2019,9
100,Uttrakhand,24-03-2019,0
101,West Bengal,24-03-2019,Not Reported
102,A&N Island,16-03-2019,0
103,Chandigarh,15-03-2019,0
104,Delhi,20-03-2019,5
105,D&N Haveli,08-03-2019,4
106,Daman & Diu,16-03-2019,0
107,Puducherry,24-03-2019,49
108,Total,28-03-2019,1156
109,Andhara Pradesh,15-04-2019,87
110,Arunachal Pradesh,06-04-2019,0
111,Assam,15-04-2019,3
112,Bihar,18-04-2019,0
113,Chhattisgarh,16-04-2019,5
114,Goa,24-04-2019,9
115,Gujarat,27-04-2019,39
116,Haryana,04-04-2019,0
117,Himachal Pradesh,10-04-2019,3
118,J & K,14-04-2019,0
119,Jharkhand,10-04-2019,10
120,Karnataka,20-04-2019,219
121,Kerala,18-04-2019,64
122,Madhya Pradesh,19-04-2019,7
123,Meghalaya,05-04-2019,0
124,Maharashtra,25-04-2019,134
125,Manipur,11-04-2019,0
126,Mizoram,25-04-2019,1
127,Nagaland,27-04-2019,0
128,Odisha,01-04-2019,0
129,Punjab,28-04-2019,8
130,Rajasthan,26-04-2019,51
131,Sikkim,22-04-2019,1
132,Tamil Nadu,08-04-2019,100
133,Tripura,24-04-2019,7
134,Telengana,11-04-2019,177
135,Uttar Pradesh,21-04-2019,3
136,Uttrakhand,15-04-2019,0
137,West Bengal,15-04-2019,Not Reported
138,A&N Island,09-04-2019,0
139,Chandigarh,10-04-2019,0
140,Delhi,08-04-2019,16
141,D&N Haveli,24-04-2019,4
142,Daman & Diu,27-04-2019,0
143,Puducherry,05-04-2019,60
144,Total,07-04-2019,1008
145,Andhara Pradesh,25-05-2019,71
146,Arunachal Pradesh,21-05-2019,0
147,Assam,02-05-2019,3
148,Bihar,08-05-2019,3
149,Chhattisgarh,20-05-2019,30
150,Goa,08-05-2019,6
151,Gujarat,28-05-2019,76
152,Haryana,18-05-2019,2
153,Himachal Pradesh,14-05-2019,1
154,J & K,05-05-2019,0
155,Jharkhand,14-05-2019,4
156,Karnataka,11-05-2019,414
157,Kerala,04-05-2019,100
158,Madhya Pradesh,07-05-2019,5
159,Meghalaya,03-05-2019,0
160,Maharashtra,26-05-2019,181
161,Manipur,27-05-2019,2
162,Mizoram,28-05-2019,0
163,Nagaland,12-05-2019,0
164,Odisha,11-05-2019,0
