Id,Date_reported,Country,New_cases,Deaths
1,24-09-2018,Andaman & Nicobar Islands,259,0
2,25-05-2019,Andaman & Nicobar Islands,202,0
3,23-11-2020,Andaman & Nicobar Islands,85,2
4,21-02-2021,Andaman & Nicobar Islands,27,0
5,25-04-2018,Andhra Pradesh,6040,0
6,01-09-2019,Andhra Pradesh,3104,0
7,18-06-2020,Andhra Pradesh,2027,0
8,19-05-2021,Andhra Pradesh,1163,0
9,14-01-2018,Arunachal Pradesh,625,0
10,02-10-2019,Arunachal Pradesh,139,0
11,08-07-2020,Arunachal Pradesh,33,0
12,03-10-2021,Arunachal Pradesh,6,0
13,09-12-2018,Assam,3816,2
14,11-05-2019,Assam,1459,4
15,09-08-2020,Assam,484,2
16,18-08-2021,Assam,106,0
17,06-11-2018,Bihar,1536,0
18,11-02-2019,Bihar,1608,0
19,09-07-2020,Bihar,518,0
20,04-03-2021,Bihar,437,0
21,16-05-2018,Chandigarh,44,0
22,11-04-2019,Chandigarh,22,0
23,01-01-2020,Chandigarh,7,0
24,16-11-2021,Chandigarh,4,0
25,03-07-2018,Chhattisgarh,78717,39
26,01-04-2019,Chhattisgarh,60458,31
27,22-07-2020,Chhattisgarh,36667,34
28,27-03-2021,Chhattisgarh,21433,23
29,28-07-2018,Dadra & Nagar Haveli,221,1
30,28-03-2019,Dadra & Nagar Haveli,73,0
31,24-08-2020,Dadra & Nagar Haveli,40,0
32,14-03-2021,Dadra & Nagar Haveli,43,0
33,07-06-2018,Daman & Diu,24,0
34,10-12-2019,Daman & Diu,8,0
35,22-09-2020,Daman & Diu,,
36,06-04-2021,Daman & Diu,,
37,01-05-2018,Delhi,473,0
38,01-02-2019,Delhi,713,0
39,26-11-2020,Delhi,135,1
40,06-12-2021,Delhi,113,0
41,14-02-2018,Goa,377,0
42,02-01-2019,Goa,272,0
43,02-09-2020,Goa,102,0
44,09-10-2021,Goa,68,0
45,06-09-2018,Gujarat,22114,2
46,27-07-2019,Gujarat,13883,1
47,08-11-2020,Gujarat,4771,1
48,01-09-2021,Gujarat,3618,0
49,25-10-2018,Haryana,3149,0
50,11-02-2019,Haryana,1497,0
51,25-05-2020,Haryana,111,0
52,23-04-2021,Haryana,44,0
53,19-04-2018,Himachal Pradesh,98,0
54,11-03-2019,Himachal Pradesh,109,0
55,19-12-2020,Himachal Pradesh,34,0
56,05-09-2021,Himachal Pradesh,8,0
57,15-01-2018,Jammu & Kashmir,168,0
58,24-01-2019,Jammu & Kashmir,105,0
59,24-04-2020,Jammu & Kashmir,37,0
60,09-03-2021,Jammu & Kashmir,25,0
61,01-04-2018,Jharkhand,57095,4
62,23-10-2019,Jharkhand,37133,2
63,27-11-2020,Jharkhand,16653,8
64,22-09-2021,Jharkhand,8760,0
65,11-12-2018,Karnataka,5721,0
66,21-02-2019,Karnataka,3499,0
67,06-06-2020,Karnataka,1701,1
68,10-10-2021,Karnataka,769,0
69,16-04-2018,Kerala,908,0
70,20-02-2019,Kerala,656,0
71,24-10-2020,Kerala,268,1
72,28-02-2021,Kerala,202,1
73,28-07-2018,Laddakh,,0
74,23-11-2019,Laddakh,0,
75,21-03-2020,Laddakh,0,0
76,11-12-2021,Laddakh,0,0
77,11-04-2018,Lakshadweep,5,0
78,05-07-2019,Lakshadweep,11,0
79,01-06-2020,Lakshadweep,6,0
80,27-11-2021,Lakshadweep,0,0
81,04-02-2018,Madhya Pradesh,22279,1
82,26-05-2019,Madhya Pradesh,14147,3
83,05-05-2020,Madhya Pradesh,6760,1
84,01-08-2021,Madhya Pradesh,2025,0
85,21-05-2018,Maharashtra,10757,13
86,15-03-2019,Maharashtra,8866,7
87,13-01-2020,Maharashtra,15215,12
88,10-01-2021,Maharashtra,13340,2
89,26-09-2018,Manipur,12,0
90,25-07-2019,Manipur,16,0
91,20-04-2020,Manipur,36,2
92,10-01-2021,Manipur,14,0
